Reference, Value, Footprint, Datasheet
U57,WS28182B,,
U60,WS28182B,,
U65,WS28182B,,
U70,WS28182B,,
U75,WS28182B,,
U76,WS28182B,,
U77,WS28182B,,
U79,WS28182B,,
U80,WS28182B,,
U81,WS28182B,,
U82,WS28182B,,
U83,WS28182B,,
U84,WS28182B,,
U86,WS28182B,,
U87,WS28182B,,
U85,WS28182B,,
U78,WS28182B,,
